meet,meet-href,compiled,compiled-href,Overall,Name,Year,Team,Time,Overall,Name,Year,Team,Distance
"Dade Christian Crusder Classic Middle School Invitational","https://www.directathletics.com/results/track/47330.html","Compiled","https://www.directathletics.com/results/track/47330_m.html","21","Mesa, Jorge","7","Belen Jesuit Prep","14.55","21","Mesa, Jorge","7","Belen Jesuit Prep",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","8","Lewis, Chauncey","SO","Ouachita Parish","","8","Lewis, Chauncey","SO","Ouachita Parish","111'  10"""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","22","Damian Martinez, Alfredo","JR","Academy Tech/Classics","","22","Damian Martinez, Alfredo","JR","Academy Tech/Classics","79'  10"""
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","2",",","","East St. Louis","","2",",","","East St. Louis","null"
"2017 Apollo Boys & Girls Conference Indoor Meet","https://www.directathletics.com/results/track/48575.html","Compiled","https://www.directathletics.com/results/track/48575_m.html","3","Line, Kody","JR","Effingham","7.63","3","Line, Kody","JR","Effingham",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_f.html","6","Goodine, De'Ja","SO-2","Albany State","12.77","6","Goodine, De'Ja","SO-2","Albany State",""
"2017 Lloyd Sigler Spring Meet","https://www.directathletics.com/results/track/48568.html","Compiled","https://www.directathletics.com/results/track/48568_f.html","4","Isidron, Victoria","FR-1","Salisbury","","4","Isidron, Victoria","FR-1","Salisbury","31.20m"
"2017 Lloyd Sigler Spring Meet","https://www.directathletics.com/results/track/48568.html","Compiled","https://www.directathletics.com/results/track/48568_m.html","7","Olumakin, Joshua","FR-1","RC - Gloucester CC","12.74","7","Olumakin, Joshua","FR-1","RC - Gloucester CC",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","7","Jenkins, Shania","11","Vero Beach HS","12.48","7","Jenkins, Shania","11","Vero Beach HS",""
"2017 West Lafayette Individuals","https://www.directathletics.com/results/track/47980.html","Compiled","https://www.directathletics.com/results/track/47980_f.html","6","Roddy, Mee'Shaunda","SR","Marian Catholic (C.H.)","7.72","6","Roddy, Mee'Shaunda","SR","Marian Catholic (C.H.)",""
"East Central Indoor Invitational","https://www.directathletics.com/results/track/48610.html","Compiled","https://www.directathletics.com/results/track/48610_f.html","3","Nobbe, Stephanie","SO","Batesville","7.76","3","Nobbe, Stephanie","SO","Batesville",""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_f.html","6","Wood, Destiny","7","Ponder Junior High","15.16","6","Wood, Destiny","7","Ponder Junior High",""
"Roncalli HSR Qualifier #1","https://www.directathletics.com/results/track/47325.html","Compiled","https://www.directathletics.com/results/track/47325_m.html","1","Harrington , Blayne","JR","Decatur Central","7.15","1","Harrington , Blayne","JR","Decatur Central",""
"University High School Invitational","https://www.directathletics.com/results/track/48982.html","Compiled","https://www.directathletics.com/results/track/48982_m.html","2","Vernell, Gavin","JR","Oswego East","7.12","2","Vernell, Gavin","JR","Oswego East",""
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","3",",","","Fremd","","3",",","","Fremd","null"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","25","Pavek, Josh","JR","Hope Christian","","25","Pavek, Josh","JR","Hope Christian","78'  0"""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","9","Ewell, Amiya","FR","Delhi Charter","14.36","9","Ewell, Amiya","FR","Delhi Charter",""
"Jacksonville HS Indoor Class A","https://www.directathletics.com/results/track/48792.html","Compiled","https://www.directathletics.com/results/track/48792_m.html","4","Griffin, Eric","SO","Madison","7.34","4","Griffin, Eric","SO","Madison",""
"Blue and White Relays","https://www.directathletics.com/results/track/48722.html","Compiled","https://www.directathletics.com/results/track/48722_f.html","","","","","","","","","",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","6","Marez, Paul","SR","Valencia","","6","Marez, Paul","SR","Valencia","106'  4.5"""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","3","Dubbert, Anna","SR","ABQ Academy","","3","Dubbert, Anna","SR","ABQ Academy","91'  4"""
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_f.html","","Brown, Daisha","","UNAT-Embry-Riddle","DNS","","Brown, Daisha","","UNAT-Embry-Riddle",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_m.html","","Garcia, Justin","FR","Sandia Prep","DQ","","Garcia, Justin","FR","Sandia Prep",""
"2017 Apollo Boys & Girls Conference Indoor Meet","https://www.directathletics.com/results/track/48575.html","Compiled","https://www.directathletics.com/results/track/48575_m.html","7","Hendrix, Matt","SO","Charleston","7.97","7","Hendrix, Matt","SO","Charleston",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","8","Altman, Nate","","Eisenhower (Blue Island)","","8","Altman, Nate","","Eisenhower (Blue Island)","35'  7"""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_f.html","3","Gentry, Brenlee","7","Paradise Junior High","14.66","3","Gentry, Brenlee","7","Paradise Junior High",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","8","Nicholas, Alexi","SO-2","Shorter","11.17","8","Nicholas, Alexi","SO-2","Shorter",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_f.html","2","Fugate, Alice","JR-3","Rhodes","12.36","2","Fugate, Alice","JR-3","Rhodes",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Davis, Unique","11","Miami Palmetto HS","","","Davis, Unique","11","Miami Palmetto HS","ND"
"2017 West Lafayette Individuals","https://www.directathletics.com/results/track/47980.html","Compiled","https://www.directathletics.com/results/track/47980_f.html","1","Jobe, Skylar","JR","Tri-West Hendricks","7.51","1","Jobe, Skylar","JR","Tri-West Hendricks",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","21","Patricios, Nick","10","Belen Jesuit Preparatory","","21","Patricios, Nick","10","Belen Jesuit Preparatory","30.01m"
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_f.html","8","Williams, Tyra","","Shorter","12.85","8","Williams, Tyra","","Shorter",""
"Trine HSR Qualifier #1","https://www.directathletics.com/results/track/48953.html","Compiled","https://www.directathletics.com/results/track/48953_m.html","13","Vice, Ethan","JR","Fremont","7.90","13","Vice, Ethan","JR","Fremont",""
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","3","Davies, Josephus","SO-2","Coffeyville CC","","3","Davies, Josephus","SO-2","Coffeyville CC","46.19m"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_f.html","8","Pope, Alexis","SO","American River","12.52","8","Pope, Alexis","SO","American River",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","matelus, kendrea","11","Dr. Michael Krop HS","","","matelus, kendrea","11","Dr. Michael Krop HS","DNS"
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","2",",","","Ponder Junior High","","2",",","","Ponder Junior High","null"
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","","","","","","","","","",""
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","4","Jackson, Terrell","FR-1","Coffeyville CC","","4","Jackson, Terrell","FR-1","Coffeyville CC","45.02m"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","1","McDonald, John","SO","Merritt","10.62","1","McDonald, John","SO","Merritt",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","","","","","","","","","",""
"Little Giant Charger HSR Qualifier 2017","https://www.directathletics.com/results/track/48450.html","Compiled","https://www.directathletics.com/results/track/48450_f.html","16","Jordan, Kaitlyn","FR","Attica","9.61","16","Jordan, Kaitlyn","FR","Attica",""
"Jacksonville HS Indoor Class A","https://www.directathletics.com/results/track/48792.html","Compiled","https://www.directathletics.com/results/track/48792_m.html","3","Lewis, Diondre","JR","Warrensburg-Latham","7.25","3","Lewis, Diondre","JR","Warrensburg-Latham",""
"PINE CREST PANTHER RELAYS","https://www.directathletics.com/results/track/48252.html","Compiled","https://www.directathletics.com/results/track/48252_m.html","11","Atwaters, Derek","SO","Cardinal Gibbons","11.88","11","Atwaters, Derek","SO","Cardinal Gibbons",""
"HF Girls Meet #4","https://www.directathletics.com/results/track/49108.html","Compiled","https://www.directathletics.com/results/track/49108_f.html","43","Garcia, Marivel","SO","Joliet Central","11.01","43","Garcia, Marivel","SO","Joliet Central",""
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_f.html","","","","","","","","","",""
"Roncalli HSR Qualifier #1","https://www.directathletics.com/results/track/47325.html","Compiled","https://www.directathletics.com/results/track/47325_m.html","8","Jones, Harold","SO","Lawrence North","7.45","8","Jones, Harold","SO","Lawrence North",""
"Trine HSR Qualifier #1","https://www.directathletics.com/results/track/48953.html","Compiled","https://www.directathletics.com/results/track/48953_m.html","18","Grossman, Nathan","FR","Prairie Heights","8.40","18","Grossman, Nathan","FR","Prairie Heights",""
"BCL East Meet 1","https://www.directathletics.com/results/track/48213.html","Compiled","https://www.directathletics.com/results/track/48213_f.html","","","","","","","","","",""
"Gold Medal Invite 2017","https://www.directathletics.com/results/track/48984.html","Compiled","https://www.directathletics.com/results/track/48984_m.html","5","Gaston, Michael ""Skippy""","FR","Indian Creek","7.40","5","Gaston, Michael ""Skippy""","FR","Indian Creek",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Hall, Takera","9","Homestead Senior HS","","","Hall, Takera","9","Homestead Senior HS","FOUL"
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","1","Pegan, Hugh","JR-3","Occidental","11.10","1","Pegan, Hugh","JR-3","Occidental",""
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","8","Ashmore, Taylor","FR-1","UC Santa Barbara","13.64","8","Ashmore, Taylor","FR-1","UC Santa Barbara",""
"University High School Invitational","https://www.directathletics.com/results/track/48982.html","Compiled","https://www.directathletics.com/results/track/48982_f.html","","","","","","","","","",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","1","Thomas, Evan","JR","Neville","","1","Thomas, Evan","JR","Neville","144'  11"""
"Trine HSR Qualifier #1","https://www.directathletics.com/results/track/48953.html","Compiled","https://www.directathletics.com/results/track/48953_m.html","20","Waite, Lucas","FR","Prairie Heights","8.50","20","Waite, Lucas","FR","Prairie Heights",""
"UAH Charger Invitational","https://www.directathletics.com/results/track/48978.html","Compiled","https://www.directathletics.com/results/track/48978_f.html","2","Brock, Kiley","SO-2","Lee (Tenn.)","13.00","2","Brock, Kiley","SO-2","Lee (Tenn.)",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_f.html","4","Dunn, Carlette","FR","St. Michael","","4","Dunn, Carlette","FR","St. Michael","null"
"PINE CREST PANTHER RELAYS","https://www.directathletics.com/results/track/48252.html","Compiled","https://www.directathletics.com/results/track/48252_m.html","7","Moulton, Jonathan","JR","Westminster Academy","11.59","7","Moulton, Jonathan","JR","Westminster Academy",""
"Roncalli HSR Qualifier #1","https://www.directathletics.com/results/track/47325.html","Compiled","https://www.directathletics.com/results/track/47325_f.html","4","Guess , Rebekkah","SO","Indianapolis Bishop Chatard","8.25","4","Guess , Rebekkah","SO","Indianapolis Bishop Chatard",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_f.html","","Wells, Makeria","SO","Glen Oaks","","","Wells, Makeria","SO","Glen Oaks","null"
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","3","Whitaker , Jaquante","FR-1","Shorter","","3","Whitaker , Jaquante","FR-1","Shorter","32.65m"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","7","Tse, Alan","FR","CCSF","","7","Tse, Alan","FR","CCSF","null"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","4","Utley, Celeste","JR-3","UC Santa Barbara","","4","Utley, Celeste","JR-3","UC Santa Barbara","48.31m"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","9","Boykin, Lane","JR","Beekman Charter","","9","Boykin, Lane","JR","Beekman Charter","106'  8"""
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_m.html","4","Crise, Alan","SR-4","West Virginia Wesleyan","","4","Crise, Alan","SR-4","West Virginia Wesleyan","48.37m"
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","","","","","","","","","",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","34","Chavez, Nate","JR","Cottonwood Classical","","34","Chavez, Nate","JR","Cottonwood Classical","65'  5.5"""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_f.html","5","Harris, Lakia","SO","Providence Cristo Rey","8.61","5","Harris, Lakia","SO","Providence Cristo Rey",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_f.html","3","Stanley, Alana","JR-3","Belhaven","","3","Stanley, Alana","JR-3","Belhaven","27.25m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","9","Grubb, Jordan","12","Coral Reef HS","11.51","9","Grubb, Jordan","12","Coral Reef HS",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","5","McGrain, Kaitlyn","FR","Los Alamos","14.04","5","McGrain, Kaitlyn","FR","Los Alamos",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","5","Clarke, Jamal","11","Miami Central HS","","5","Clarke, Jamal","11","Miami Central HS","36.40m"
"York Girls Invitational #3","https://www.directathletics.com/results/track/48988.html","Compiled","https://www.directathletics.com/results/track/48988_f.html","2",",","","Lyons Township","","2",",","","Lyons Township","null"
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","4","Gamble, Anthony","","Unattached","11.16","4","Gamble, Anthony","","Unattached",""
"UAH Charger Invitational","https://www.directathletics.com/results/track/48978.html","Compiled","https://www.directathletics.com/results/track/48978_m.html","5","Alsop, Sebastian","","Unattached","11.43","5","Alsop, Sebastian","","Unattached",""
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_f.html","1","Abraham, Tyra","JR-3","Claremont-Mudd-Scripps","12.19","1","Abraham, Tyra","JR-3","Claremont-Mudd-Scripps",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","29","Budzyski, Dominik","SR","Lincoln-Way Central","","29","Budzyski, Dominik","SR","Lincoln-Way Central","26'  0"""
"UAH Charger Invitational","https://www.directathletics.com/results/track/48978.html","Compiled","https://www.directathletics.com/results/track/48978_m.html","1","Brooks, Justin","SO-2","Lee (Tenn.)","10.75","1","Brooks, Justin","SO-2","Lee (Tenn.)",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","","","","","","","","",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","36","Horne, Waco","SR","Santa Fe","","36","Horne, Waco","SR","Santa Fe","64'  7"""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_f.html","1","Jones, Dykearah","FR-1","Albany State","12.19","1","Jones, Dykearah","FR-1","Albany State",""
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_m.html","2","Childs, Steven","SO-2","UC Davis","11.04","2","Childs, Steven","SO-2","UC Davis",""
"Bloomington North Invite","https://www.directathletics.com/results/track/48861.html","Compiled","https://www.directathletics.com/results/track/48861_m.html","1","Mcbride, Noah","SR","Evansville Harrison","7.05","1","Mcbride, Noah","SR","Evansville Harrison",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","2","Morgan, Rodney","FR","CCSF","","2","Morgan, Rodney","FR","CCSF","null"
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_f.html","4","JonesMitchell, Nirel","FR-1","Claremont-Mudd-Scripps","12.97","4","JonesMitchell, Nirel","FR-1","Claremont-Mudd-Scripps",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","","","","","","","","","",""
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_m.html","","Petree, Kobe","","Artesia Junior High","NT","","Petree, Kobe","","Artesia Junior High",""
"Lane Heptathlon","https://www.directathletics.com/results/track/49364.html","Compiled","https://www.directathletics.com/results/track/49364_f.html","4","Hall, Toni","FR","Lane CC","null","4","Hall, Toni","FR","Lane CC",""
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","1","Saunders, Osano","SO-2","USC-Beaufort","","1","Saunders, Osano","SO-2","USC-Beaufort","32.97m"
"Argo Invite (Womens Meet)","https://www.directathletics.com/results/track/48841.html","Compiled","https://www.directathletics.com/results/track/48841_f.html","24","Quiroz, Rachael","SR","Reavis","9.53","24","Quiroz, Rachael","SR","Reavis",""
"Bloomington North Invite","https://www.directathletics.com/results/track/48861.html","Compiled","https://www.directathletics.com/results/track/48861_f.html","11","Toney, Jordan","JR","Evansville Harrison","8.66","11","Toney, Jordan","JR","Evansville Harrison",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","22","Cachon, Ernesto","9","Gulliver Prep HS","","22","Cachon, Ernesto","9","Gulliver Prep HS","29.28m"
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_m.html","55","Marrow , Shaden","FR","Blackford","9.18","55","Marrow , Shaden","FR","Blackford",""
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_f.html","1","Parker, Destiny","JR-3","California","","1","Parker, Destiny","JR-3","California","58.65m"
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","5","Frazier, Dylan","SO","Mont Belvieu Barbers Hill","11.95","5","Frazier, Dylan","SO","Mont Belvieu Barbers Hill",""
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","2","Kelley, Chale","JR-3","USC-Beaufort","","2","Kelley, Chale","JR-3","USC-Beaufort","31.73m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","16","Alce, Abraham","11","American Heritage MS/HS (","","16","Alce, Abraham","11","American Heritage MS/HS (","31.27m"
"East Central Indoor Invitational","https://www.directathletics.com/results/track/48610.html","Compiled","https://www.directathletics.com/results/track/48610_m.html","1","Orschell, Mitchell","JR","Franklin County","6.88","1","Orschell, Mitchell","JR","Franklin County",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","7","Holden-Rhodes, Brittany","SR","Sandia Prep","","7","Holden-Rhodes, Brittany","SR","Sandia Prep","69'  6"""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","3","Lapsley, Parker","FR","Siskiyous","","3","Lapsley, Parker","FR","Siskiyous","null"
"2017 Indian Open","https://www.directathletics.com/results/track/48196.html","Compiled","https://www.directathletics.com/results/track/48196_m.html","4","Giles, Anthony","SR","Lake Central","7.01","4","Giles, Anthony","SR","Lake Central",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","18","Robustelli, Alec","SR","Lincoln-Way Central","","18","Robustelli, Alec","SR","Lincoln-Way Central","30'  5"""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_f.html","4","Haughton, Ellexsie","SO-2","Edward Waters","","4","Haughton, Ellexsie","SO-2","Edward Waters","11.29m"
"Lane Heptathlon","https://www.directathletics.com/results/track/49364.html","Compiled","https://www.directathletics.com/results/track/49364_f.html","1","Lane, Olivia","FR","Lane CC","null","1","Lane, Olivia","FR","Lane CC",""
"HF Girls Meet #4","https://www.directathletics.com/results/track/49108.html","Compiled","https://www.directathletics.com/results/track/49108_f.html","42","Yarbrough, Micah","","Homewood-Flossmoor","10.05","42","Yarbrough, Micah","","Homewood-Flossmoor",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","11","White, Lionel","SO","Diablo Valley","10.97","11","White, Lionel","SO","Diablo Valley",""
"De La Salle Gold Invite","https://www.directathletics.com/results/track/49135.html","Compiled","https://www.directathletics.com/results/track/49135_f.html","","","","","","","","","",""
"Beach vs UCLA","https://www.directathletics.com/results/track/49303.html","Compiled","https://www.directathletics.com/results/track/49303_f.html","3","Baker, Sarah","JR-3","Long Beach St.","","3","Baker, Sarah","JR-3","Long Beach St.","40.93m"
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_f.html","2",",","","Chico Middle School","","2",",","","Chico Middle School","null"
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_f.html","4","Guidetti, Kendall","FR-1","Cal Lutheran","12.80","4","Guidetti, Kendall","FR-1","Cal Lutheran",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","28","Skartwed, Caeton","SR","Hope Christian","","28","Skartwed, Caeton","SR","Hope Christian","44'  4"""
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_m.html","","","","","","","","","",""
"Whiteland HSR Qualifier #1","https://www.directathletics.com/results/track/47067.html","Compiled","https://www.directathletics.com/results/track/47067_m.html","2","bently, issac","SR","Union County","7.11","2","bently, issac","SR","Union County",""
"Battle of the Beaches","https://www.directathletics.com/results/track/48170.html","Compiled","https://www.directathletics.com/results/track/48170_m.html","1","Johnson, Brandon","SO-2","Coastal Carolina","11.15","1","Johnson, Brandon","SO-2","Coastal Carolina",""
"York Girls Invitational #3","https://www.directathletics.com/results/track/48988.html","Compiled","https://www.directathletics.com/results/track/48988_f.html","8","McManus, Grace","JR","New Trier","8.12","8","McManus, Grace","JR","New Trier",""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_f.html","","","","","","","","","",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","8","Woodward, Jed","SO-2","Berry","","8","Woodward, Jed","SO-2","Berry","26.03m"
"2017 Coed Golden Timer Meet","https://www.directathletics.com/results/track/49026.html","Compiled","https://www.directathletics.com/results/track/49026_f.html","17","Harris, Danae","FR","Thornridge","8.22","17","Harris, Danae","FR","Thornridge",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","17","Adams, Don","SR","Tinley Park","","17","Adams, Don","SR","Tinley Park","30'  6"""
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_f.html","5","Contreras, Erika","JR-3","UC Davis","","5","Contreras, Erika","JR-3","UC Davis","49.45m"
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_f.html","2","Ellis, Gabrielle","SR-4","Pepperdine","12.22","2","Ellis, Gabrielle","SR-4","Pepperdine",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","8","Green, Darius","SR-4","Mississippi College","10.98","8","Green, Darius","SR-4","Mississippi College",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_m.html","12","Eichwald, Nicolas","SR","St. Pius X","","12","Eichwald, Nicolas","SR","St. Pius X","78'  0"""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","1","Gaston, Jaylah","SO","Crossett","13.41","1","Gaston, Jaylah","SO","Crossett",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","1","Johnson, Brashawn","JR","Eisenhower (Blue Island)","","1","Johnson, Brashawn","JR","Eisenhower (Blue Island)","44'  3"""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","2","Cesaire , Emile","SO-2","Shorter","10.87","2","Cesaire , Emile","SO-2","Shorter",""
